nameofissuer	titleofclass	cusip	value	shrsorprnamt	investmentdiscretion	votingauthority	putcall
HSBC HLDGS PLC	SPON ADR NEW	404280406	7830	190077 SH	SOLE	190077 0 0	N/A
HUB GROUP INC	CL A	443320106	8230	222014 SH	SOLE	222014 0 0	N/A
HUBBELL INC	COM	443510607	296	2979 SH	SOLE	2979 0 0	N/A
HUMANA INC	COM	444859102	4255	14891 SH	SOLE	14891 0 0	N/A
HUNT J B TRANS SVCS INC	COM	445658107	4691	50158 SH	SOLE	50158 0 0	N/A
HUNTINGTON BANCSHARES INC	COM	446150104	2252	189206 SH	SOLE	189206 0 0	N/A
HUNTINGTON INGALLS INDS INC	COM	446413106	737	3871 SH	SOLE	3871 0 0	N/A
HUNTSMAN CORP	COM	447011107	2116	109924 SH	SOLE	109924 0 0	N/A
HYATT HOTELS CORP	COM CL A	448579102	1631	24080 SH	SOLE	24080 0 0	N/A
I D SYSTEMS INC	COM	449489103	93	16600 SH	SOLE	16600 0 0	N/A
IAC INTERACTIVECORP	COM	44919P508	880	4798 SH	SOLE	4798 0 0	N/A
IBIO INC	COM NEW	451033203	8	10002 SH	SOLE	10002 0 0	N/A
ICAHN ENTERPRISES LP	DEPOSITARY UNIT	451100101	451	7942 SH	SOLE	7942 0 0	N/A
ICICI BK LTD	ADR	45104G104	298	28847 SH	SOLE	28847 0 0	N/A
ICON PLC	SHS	G4705A100	1406	10951 SH	SOLE	10951 0 0	N/A
ICU MED INC	COM	44930G107	294	1281 SH	SOLE	1281 0 0	N/A
IDEX CORP	COM	45167R104	465	3688 SH	SOLE	3688 0 0	N/A
IDEXX LABS INC	COM	45168D104	6214	33427 SH	SOLE	33427 0 0	N/A
IDEXX LABS INC	COM	45168D104	1	300 SH	SOLE	300 0 0	Call
IHS MARKIT LTD	SHS	G47567105	382	7909 SH	SOLE	7909 0 0	N/A
II VI INC	COM	902104108	1039	31996 SH	SOLE	31996 0 0	N/A
ILLINOIS TOOL WKS INC	COM	452308109	10326	81530 SH	SOLE	81530 0 0	N/A
ILLINOIS TOOL WKS INC	COM	452308109	13	8000 SH	SOLE	8000 0 0	Put
ILLUMINA INC	COM	452327109	5180	17310 SH	SOLE	17310 0 0	N/A
IMMUNE DESIGN CORP	COM	45252L103	26	20000 SH	SOLE	20000 0 0	N/A
IMMUNOGEN INC	COM	45253H101	37	10288 SH	SOLE	10288 0 0	N/A
IMMUNOMEDICS INC	COM	452907108	667	46730 SH	SOLE	46730 0 0	N/A
IMPAC MTG HLDGS INC	COM NEW	45254P508	683	180507 SH	SOLE	180507 0 0	N/A
INCYTE CORP	COM	45337C102	1536	24177 SH	SOLE	24177 0 0	N/A
INDEPENDENT BANK CORP MICH	COM NEW	453838609	212	10089 SH	SOLE	10089 0 0	N/A
INDEXIQ ETF TR	HDG MACTRK ETF	45409B206	252	10100 SH	SOLE	10100 0 0	N/A
INDEXIQ ETF TR	HEDGE MLTI ETF	45409B107	1659	57205 SH	SOLE	57205 0 0	N/A
INDEXIQ ETF TR	IQ CHAIKIN US	45409B396	473	21308 SH	SOLE	21308 0 0	N/A
INDEXIQ ETF TR	IQ HEDGMKT NUT	45409B503	2249	89321 SH	SOLE	89321 0 0	N/A
INDEXIQ ETF TR	IQ MRGR ARB ETF	45409B800	3282	103569 SH	SOLE	103569 0 0	N/A
INFOSYS LTD	SPONSORED ADR	456788108	1026	108154 SH	SOLE	108154 0 0	N/A
INFUSYSTEM HLDGS INC	COM	45685K102	34	10000 SH	SOLE	10000 0 0	N/A
ING GROEP N V	SPONSORED ADR	456837103	2747	258894 SH	SOLE	258894 0 0	N/A
INGERSOLL-RAND PLC	SHS	G47791101	2397	26276 SH	SOLE	26276 0 0	N/A
INGREDION INC	COM	457187102	523	5712 SH	SOLE	5712 0 0	N/A
INNOVIVA INC	COM	45781M101	1103	63021 SH	SOLE	63021 0 0	N/A
INOVIO PHARMACEUTICALS INC	COM NEW	45773H201	371	92504 SH	SOLE	92504 0 0	N/A
INTEGER HLDGS CORP	COM	45826H109	239	3143 SH	SOLE	3143 0 0	N/A
INTEL CORP	COM	458140100	98785	2105836 SH	SOLE	2105836 0 0	N/A
INTEL CORP	COM	458140100	10	32600 SH	SOLE	32600 0 0	Call
INTELLIA THERAPEUTICS INC	COM	45826J105	201	14726 SH	SOLE	14726 0 0	N/A
INTERCEPT PHARMACEUTICALS IN	COM	45845P108	3891	38618 SH	SOLE	38618 0 0	N/A
INTERCEPT PHARMACEUTICALS IN	COM	45845P108	2	100 SH	SOLE	100 0 0	Call
INTERCONTINENTAL EXCHANGE IN	COM	45866F104	7207	95446 SH	SOLE	95446 0 0	N/A
INTERNATIONAL BUSINESS MACHS	COM	459200101	38856	341543 SH	SOLE	341543 0 0	N/A
INTERNATIONAL FLAVORS&FRAGRA	COM	459506101	474	3506 SH	SOLE	3506 0 0	N/A
INTERPUBLIC GROUP COS INC	COM	460690100	1148	55523 SH	SOLE	55523 0 0	N/A
INTERSECT ENT INC	COM	46071F103	242	8628 SH	SOLE	8628 0 0	N/A
INTEST CORP	COM	461147100	378	61618 SH	SOLE	61618 0 0	N/A
INTL PAPER CO	COM	460146103	5990	148769 SH	SOLE	148769 0 0	N/A
INTREXON CORP	COM	46122T102	454	73152 SH	SOLE	73152 0 0	N/A
INTUIT	COM	461202103	3844	19508 SH	SOLE	19508 0 0	N/A
INTUITIVE SURGICAL INC	COM NEW	46120E602	3819	8022 SH	SOLE	8022 0 0	N/A
INVESCO ACTIVELY MANAGD ETF	OPTIMUM YIELD	46090F100	1659	109922 SH	SOLE	109922 0 0	N/A
INVESCO CURNCYSHS JAPANESE Y	JAPANESE YEN	46138W107	445	5092 SH	SOLE	5092 0 0	N/A
INVESCO DB COMMDY INDX TRCK	UNIT	46138B103	655	44943 SH	SOLE	44943 0 0	N/A
INVESCO DB US DLR INDEX TR	BULLISH FD	46141D203	1700	66880 SH	SOLE	66880 0 0	N/A
INVESCO DB US DLR INDEX TR	BULLISH FD	46141D203	8	80000 SH	SOLE	80000 0 0	Call
INVESCO EXCH TRD SLF IDX FD	BULSHS 2019 CB	46138J304	17099	812037 SH	SOLE	812037 0 0	N/A
INVESCO EXCH TRD SLF IDX FD	BULSHS 2019 HY	46138J403	8128	344308 SH	SOLE	344308 0 0	N/A
INVESCO EXCH TRD SLF IDX FD	BULSHS 2020 CB	46138J502	27521	1306191 SH	SOLE	1306191 0 0	N/A
INVESCO EXCH TRD SLF IDX FD	BULSHS 2020 HY	46138J601	4806	205399 SH	SOLE	205399 0 0	N/A
INVESCO EXCH TRD SLF IDX FD	BULSHS 2021 CB	46138J700	2135	102827 SH	SOLE	102827 0 0	N/A
INVESCO EXCH TRD SLF IDX FD	BULSHS 2021 HY	46138J809	4678	197816 SH	SOLE	197816 0 0	N/A
INVESCO EXCH TRD SLF IDX FD	BULSHS 2022 CB	46138J882	18211	884621 SH	SOLE	884621 0 0	N/A
INVESCO EXCH TRD SLF IDX FD	BULSHS 2022 HY	46138J874	4288	185122 SH	SOLE	185122 0 0	N/A
INVESCO EXCH TRD SLF IDX FD	BULSHS 2023 CB	46138J866	1541	76342 SH	SOLE	76342 0 0	N/A
INVESCO EXCH TRD SLF IDX FD	BULSHS 2024 CB	46138J841	631	31601 SH	SOLE	31601 0 0	N/A
INVESCO EXCHANGE TRADED FD T	AEROSPACE DEFN	46137V100	9441	190969 SH	SOLE	190969 0 0	N/A
INVESCO EXCHANGE TRADED FD T	BUYBACK ACHIEV	46137V308	313	5997 SH	SOLE	5997 0 0	N/A
INVESCO EXCHANGE TRADED FD T	DWA HEALTHCARE	46137V852	5599	78697 SH	SOLE	78697 0 0	N/A
INVESCO EXCHANGE TRADED FD T	DWA MOMENTUM	46137V837	792	16406 SH	SOLE	16406 0 0	N/A
INVESCO EXCHANGE TRADED FD T	DWA UTILS MUMT	46137V795	5550	191525 SH	SOLE	191525 0 0	N/A
INVESCO EXCHANGE TRADED FD T	DYNMC BIOTECH	46137V787	5876	124800 SH	SOLE	124800 0 0	N/A
INVESCO EXCHANGE TRADED FD T	DYNMC LRG GWTH	46137V746	287	6947 SH	SOLE	6947 0 0	N/A
INVESCO EXCHANGE TRADED FD T	DYNMC LRG VALU	46137V738	18772	575329 SH	SOLE	575329 0 0	N/A
INVESCO EXCHANGE TRADED FD T	DYNMC NETWRNG	46137V688	5394	111653 SH	SOLE	111653 0 0	N/A
INVESCO EXCHANGE TRADED FD T	DYNMC PHRMCTLS	46137V662	326	5231 SH	SOLE	5231 0 0	N/A
INVESCO EXCHANGE TRADED FD T	DYNMC SOFTWARE	46137V639	8003	108212 SH	SOLE	108212 0 0	N/A
INVESCO EXCHANGE TRADED FD T	FINL PFD ETF	46137V621	326	18675 SH	SOLE	18675 0 0	N/A
INVESCO EXCHANGE TRADED FD T	FTSE RAFI 1000	46137V613	13957	137288 SH	SOLE	137288 0 0	N/A
INVESCO EXCHANGE TRADED FD T	FTSE RAFI 1500	46137V597	2627	23138 SH	SOLE	23138 0 0	N/A
INVESCO EXCHANGE TRADED FD T	NASDAQ INTERNT	46137V530	6447	58668 SH	SOLE	58668 0 0	N/A
INVESCO EXCHANGE TRADED FD T	RUSEL MDCP GWT	46137V464	206	4610 SH	SOLE	4610 0 0	N/A
INVESCO EXCHANGE TRADED FD T	S&P 500 TOP 50	46137V233	1158	6450 SH	SOLE	6450 0 0	N/A
INVESCO EXCHANGE TRADED FD T	S&P MDCP400 PR	46137V217	3404	25836 SH	SOLE	25836 0 0	N/A
INVESCO EXCHANGE TRADED FD T	S&P SML600 GWT	46137V175	771	7454 SH	SOLE	7454 0 0	N/A
INVESCO EXCHANGE TRADED FD T	S&P500 BUY WRT	46137V399	976	49456 SH	SOLE	49456 0 0	N/A
INVESCO EXCHANGE TRADED FD T	S&P500 EQL DIS	46137V381	1086	12045 SH	SOLE	12045 0 0	N/A
INVESCO EXCHANGE TRADED FD T	S&P500 EQL ENR	46137V365	594	13812 SH	SOLE	13812 0 0	N/A
INVESCO EXCHANGE TRADED FD T	S&P500 EQL FIN	46137V340	4655	128495 SH	SOLE	128495 0 0	N/A
INVESCO EXCHANGE TRADED FD T	S&P500 EQL HLT	46137V332	1451	8165 SH	SOLE	8165 0 0	N/A
INVESCO EXCHANGE TRADED FD T	S&P500 EQL IND	46137V324	691	6610 SH	SOLE	6610 0 0	N/A
INVESCO EXCHANGE TRADED FD T	S&P500 EQL REL	46137V290	467	18115 SH	SOLE	18115 0 0	N/A
INVESCO EXCHANGE TRADED FD T	S&P500 EQL STP	46137V373	759	6462 SH	SOLE	6462 0 0	N/A
INVESCO EXCHANGE TRADED FD T	S&P500 EQL TEC	46137V282	3157	22403 SH	SOLE	22403 0 0	N/A
INVESCO EXCHANGE TRADED FD T	S&P500 EQL UTL	46137V274	508	5636 SH	SOLE	5636 0 0	N/A
INVESCO EXCHANGE TRADED FD T	S&P500 EQL WGT	46137V357	103748	1135160 SH	SOLE	1135160 0 0	N/A
INVESCO EXCHANGE TRADED FD T	S&P500 PUR GWT	46137V266	47673	478623 SH	SOLE	478623 0 0	N/A
INVESCO EXCHANGE TRADED FD T	S&P500 PUR VAL	46137V258	10180	179059 SH	SOLE	179059 0 0	N/A
INVESCO EXCHANGE TRADED FD T	S&P500 QUALITY	46137V241	2815	101331 SH	SOLE	101331 0 0	N/A
INVESCO EXCHANGE TRADED FD T	WATER RES ETF	46137V142	1038	36702 SH	SOLE	36702 0 0	N/A
INVESCO EXCHNG TRADED FD TR	CALIF AMT MUN	46138E206	414	16044 SH	SOLE	16044 0 0	N/A
INVESCO EXCHNG TRADED FD TR	CHINA TECHNLGY	46138E800	493	12565 SH	SOLE	12565 0 0	N/A
INVESCO EXCHNG TRADED FD TR	DWA SMLCP MENT	46138E842	435	10043 SH	SOLE	10043 0 0	N/A
INVESCO EXCHNG TRADED FD TR	EMRNG MKT SVRG	46138E784	558	21201 SH	SOLE	21201 0 0	N/A
INVESCO EXCHNG TRADED FD TR	FNDMNTL HY CRP	46138E719	2346	133155 SH	SOLE	133155 0 0	N/A
INVESCO EXCHNG TRADED FD TR	FTSE INTL LOW	46138E768	5365	207602 SH	SOLE	207602 0 0	N/A
INVESCO EXCHNG TRADED FD TR	FTSE RAFI DEV	46138E743	1514	40341 SH	SOLE	40341 0 0	N/A
INVESCO EXCHNG TRADED FD TR	FTSE RAFI EMNG	46138E727	1779	89800 SH	SOLE	89800 0 0	N/A
INVESCO EXCHNG TRADED FD TR	GBL SRT TRM HY	46138E669	358	15964 SH	SOLE	15964 0 0	N/A
INVESCO EXCHNG TRADED FD TR	NATL AMT MUNI	46138E537	1073	42905 SH	SOLE	42905 0 0	N/A
INVESCO EXCHNG TRADED FD TR	PFD ETF	46138E511	336	25067 SH	SOLE	25067 0 0	N/A
INVESCO EXCHNG TRADED FD TR	RUSEL 1000 EQL	46138E420	1393	49910 SH	SOLE	49910 0 0	N/A
INVESCO EXCHNG TRADED FD TR	S&P 500 EX RAT	46138E388	13023	402801 SH	SOLE	402801 0 0	N/A
INVESCO EXCHNG TRADED FD TR	S&P EMRNG MKTS	46138E297	2271	99706 SH	SOLE	99706 0 0	N/A
INVESCO EXCHNG TRADED FD TR	S&P GBL WATER	46138E263	706	22734 SH	SOLE	22734 0 0	N/A
INVESCO EXCHNG TRADED FD TR	S&P MIDCP LOW	46138E198	638	14410 SH	SOLE	14410 0 0	N/A
INVESCO EXCHNG TRADED FD TR	S&P SMLCP FINL	46138E156	219	4557 SH	SOLE	4557 0 0	N/A
INVESCO EXCHNG TRADED FD TR	S&P SMLCP HELT	46138E149	772	7201 SH	SOLE	7201 0 0	N/A
INVESCO EXCHNG TRADED FD TR	S&P500 HDL VOL	46138E362	1097	28710 SH	SOLE	28710 0 0	N/A
INVESCO EXCHNG TRADED FD TR	S&P500 LOW VOL	46138E354	11042	236785 SH	SOLE	236785 0 0	N/A
INVESCO EXCHNG TRADED FD TR	SHIPPING ETF	46138G607	154	18506 SH	SOLE	18506 0 0	N/A
INVESCO EXCHNG TRADED FD TR	SR LN ETF	46138G508	2019	92803 SH	SOLE	92803 0 0	N/A
INVESCO EXCHNG TRADED FD TR	TAXABLE MUN BD	46138G805	202	6779 SH	SOLE	6779 0 0	N/A
INVESCO EXCHNG TRADED FD TR	VAR RATE PFD	46138G870	1016	44643 SH	SOLE	44643 0 0	N/A
INVESCO EXCHNG TRADED FD TR	VRDO TAX FREE	46138G862	939	37800 SH	SOLE	37800 0 0	N/A
INVESCO INDIA EXCHG TRED FD	INDIA ETF	46137R109	550	22857 SH	SOLE	22857 0 0	N/A
INVESCO LTD	SHS	G491BT108	3060	181981 SH	SOLE	181981 0 0	N/A
INVESCO MUN TR	COM	46131J103	2531	226945 SH	SOLE	226945 0 0	N/A
INVESCO MUNI INCOME OPP TRST	COM	46132X101	312	44806 SH	SOLE	44806 0 0	N/A
INVESCO PA VALUE MUN INCOME	COM	46132K109	1504	129695 SH	SOLE	129695 0 0	N/A
INVESCO QQQ TR	UNIT SER 1	46090E103	138267	896415 SH	SOLE	896415 0 0	N/A
INVESCO QQQ TR	UNIT SER 1	46090E103	58	38400 SH	SOLE	38400 0 0	Put
INVESCO QUALITY MUNI INC TRS	COM	46133G107	2217	197321 SH	SOLE	197321 0 0	N/A
INVESCO SR INCOME TR	COM	46131H107	214	54597 SH	SOLE	54597 0 0	N/A
INVESCO VALUE MUN INCOME TR	COM	46132P108	201	14885 SH	SOLE	14885 0 0	N/A
INVITAE CORP	COM	46185L103	3999	362226 SH	SOLE	362226 0 0	N/A
IONIS PHARMACEUTICALS INC	COM	462222100	1023	18877 SH	SOLE	18877 0 0	N/A
IQIYI INC	SPONSORED ADS	46267X108	190	12931 SH	SOLE	12931 0 0	N/A
IRIDIUM COMMUNICATIONS INC	COM	46269C102	372	20178 SH	SOLE	20178 0 0	N/A
IRON MTN INC NEW	COM	46284V101	1662	51528 SH	SOLE	51528 0 0	N/A
ISHARES GOLD TRUST	ISHARES	464285105	9378	766860 SH	SOLE	766860 0 0	N/A
ISHARES INC	CORE MSCI EMKT	46434G103	22601	479754 SH	SOLE	479754 0 0	N/A
ISHARES INC	CUR HD MSCI EM	46434G509	4657	201580 SH	SOLE	201580 0 0	N/A
ISHARES INC	MIN VOL EMRG MKT	464286533	1955	35035 SH	SOLE	35035 0 0	N/A
ISHARES INC	MIN VOL GBL ETF	464286525	3007	36989 SH	SOLE	36989 0 0	N/A
ISHARES INC	MSCI BRAZIL ETF	464286400	15	32000 SH	SOLE	32000 0 0	Put
ISHARES INC	MSCI BRAZIL ETF	464286400	3396	88769 SH	SOLE	88769 0 0	N/A
ISHARES INC	MSCI BRIC INDX	464286657	743	19805 SH	SOLE	19805 0 0	N/A
ISHARES INC	MSCI CDA ETF	464286509	1643	68819 SH	SOLE	68819 0 0	N/A
ISHARES INC	MSCI EM ASIA ETF	464286426	479	7858 SH	SOLE	7858 0 0	N/A
ISHARES INC	MSCI EURZONE ETF	464286608	3698	105411 SH	SOLE	105411 0 0	N/A
ISHARES INC	MSCI GBL GOLD MN	46434G855	2604	160042 SH	SOLE	160042 0 0	N/A
ISHARES INC	MSCI GERMANY ETF	464286806	260	10206 SH	SOLE	10206 0 0	N/A
ISHARES INC	MSCI HONG KG ETF	464286871	738	32644 SH	SOLE	32644 0 0	N/A
ISHARES INC	MSCI JPN ETF NEW	46434G822	16649	328334 SH	SOLE	328334 0 0	N/A
ISHARES INC	MSCI PAC JP ETF	464286665	2242	55310 SH	SOLE	55310 0 0	N/A
ISHARES INC	MSCI SINGPOR ETF	46434G780	2542	115100 SH	SOLE	115100 0 0	N/A
ISHARES INC	MSCI SWEDEN ETF	464286756	6050	214446 SH	SOLE	214446 0 0	N/A
ISHARES INC	MSCI SWITZERLAND	464286749	1226	38734 SH	SOLE	38734 0 0	N/A
ISHARES INC	MSCI THAILND ETF	464286624	1683	20364 SH	SOLE	20364 0 0	N/A
ISHARES S&P GSCI COMMODITY I	UNIT BEN INT	46428R107	180	12961 SH	SOLE	12961 0 0	N/A
ISHARES SILVER TRUST	ISHARES	46428Q109	1899	130503 SH	SOLE	130503 0 0	N/A
ISHARES TR	0-5 YR TIPS ETF	46429B747	290	2967 SH	SOLE	2967 0 0	N/A
ISHARES TR	0-5YR HI YL CP	46434V407	12531	282103 SH	SOLE	282103 0 0	N/A
ISHARES TR	0-5YR INVT GR CP	46434V100	2554	51750 SH	SOLE	51750 0 0	N/A
ISHARES TR	1 3 YR TREAS BD	464287457	17738	212217 SH	SOLE	212217 0 0	N/A
ISHARES TR	20 YR TR BD ETF	464287432	6221	51202 SH	SOLE	51202 0 0	N/A
ISHARES TR	3 7 YR TREAS BD	464288661	10728	88402 SH	SOLE	88402 0 0	N/A
ISHARES TR	AGENCY BOND ETF	464288166	1163	10437 SH	SOLE	10437 0 0	N/A
ISHARES TR	AGGRES ALLOC ETF	464289859	387	7956 SH	SOLE	7956 0 0	N/A
ISHARES TR	ASIA 50 ETF	464288430	243	4400 SH	SOLE	4400 0 0	N/A
ISHARES TR	BARCLAYS 7 10 YR	464287440	11018	105675 SH	SOLE	105675 0 0	N/A
ISHARES TR	CALIF MUN BD ETF	464288356	512	8754 SH	SOLE	8754 0 0	N/A
ISHARES TR	CHINA LG-CAP ETF	464287184	2420	61818 SH	SOLE	61818 0 0	N/A
ISHARES TR	COHEN STEER REIT	464287564	540	5619 SH	SOLE	5619 0 0	N/A
ISHARES TR	CONV BD ETF	46435G102	717	13587 SH	SOLE	13587 0 0	N/A
ISHARES TR	CORE 1 5 YR USD	46432F859	7490	152890 SH	SOLE	152890 0 0	N/A
ISHARES TR	CORE DIV GRWTH	46434V621	7265	219069 SH	SOLE	219069 0 0	N/A
ISHARES TR	CORE HIGH DV ETF	46429B663	7363	87157 SH	SOLE	87157 0 0	N/A
ISHARES TR	CORE INTL AGGR	46435G672	3463	66327 SH	SOLE	66327 0 0	N/A
ISHARES TR	CORE MSCI EAFE	46432F842	32784	596236 SH	SOLE	596236 0 0	N/A
ISHARES TR	CORE MSCI EURO	46434V738	1025	24814 SH	SOLE	24814 0 0	N/A
ISHARES TR	CORE MSCI INTL	46435G326	2008	41134 SH	SOLE	41134 0 0	N/A
ISHARES TR	CORE MSCI PAC	46434V696	1245	24585 SH	SOLE	24585 0 0	N/A
ISHARES TR	CORE MSCI TOTAL	46432F834	44130	839834 SH	SOLE	839834 0 0	N/A
ISHARES TR	CORE S&P MCP ETF	464287507	42368	255709 SH	SOLE	255709 0 0	N/A
ISHARES TR	CORE S&P SCP ETF	464287804	61369	886536 SH	SOLE	886536 0 0	N/A
ISHARES TR	CORE S&P TTL STK	464287150	63110	1112127 SH	SOLE	1112127 0 0	N/A
ISHARES TR	CORE S&P US GWT	464287671	26136	495937 SH	SOLE	495937 0 0	N/A
ISHARES TR	CORE S&P US VLU	464287663	20061	408177 SH	SOLE	408177 0 0	N/A
ISHARES TR	CORE S&P500 ETF	464287200	63268	251230 SH	SOLE	251230 0 0	N/A
ISHARES TR	CORE US AGGBD ET	464287226	37077	348211 SH	SOLE	348211 0 0	N/A
ISHARES TR	CR 5 10 YR ETF	46435G417	210	4388 SH	SOLE	4388 0 0	N/A
ISHARES TR	CRE U S REIT ETF	464288521	930	20694 SH	SOLE	20694 0 0	N/A
ISHARES TR	CUR HD EURZN ETF	46434V639	4739	182700 SH	SOLE	182700 0 0	N/A
ISHARES TR	DOW JONES US ETF	464287846	786	6317 SH	SOLE	6317 0 0	N/A
ISHARES TR	EAFE GRWTH ETF	464288885	7981	115438 SH	SOLE	115438 0 0	N/A
ISHARES TR	EAFE SML CP ETF	464288273	12701	245010 SH	SOLE	245010 0 0	N/A
ISHARES TR	EAFE VALUE ETF	464288877	3696	81789 SH	SOLE	81789 0 0	N/A
ISHARES TR	EDGE MSCI USA VL	46432F388	1025	14148 SH	SOLE	14148 0 0	N/A
ISHARES TR	ESG MSCI EAFE	46435G516	207	3596 SH	SOLE	3596 0 0	N/A
ISHARES TR	EUROPE ETF	464287861	364	9407 SH	SOLE	9407 0 0	N/A
ISHARES TR	EXPANDED TECH	464287515	2380	13685 SH	SOLE	13685 0 0	N/A
ISHARES TR	EXPND TEC SC ETF	464287549	551	3207 SH	SOLE	3207 0 0	N/A
ISHARES TR	EXPONENTIAL TECH	46434V381	493	14857 SH	SOLE	14857 0 0	N/A
ISHARES TR	FLTG RATE NT ETF	46429B655	23759	471810 SH	SOLE	471810 0 0	N/A
ISHARES TR	GLB INFRASTR ETF	464288372	2393	60898 SH	SOLE	60898 0 0	N/A
ISHARES TR	GLOBAL ENERG ETF	464287341	400	13659 SH	SOLE	13659 0 0	N/A
ISHARES TR	GLOBAL TECH ETF	464287291	2363	16414 SH	SOLE	16414 0 0	N/A
ISHARES TR	GRWT ALLOCAT ETF	464289867	226	5536 SH	SOLE	5536 0 0	N/A
ISHARES TR	HDG MSCI EAFE	46434V803	1712	66260 SH	SOLE	66260 0 0	N/A
ISHARES TR	HDG MSCI JAPAN	46434V886	329	11670 SH	SOLE	11670 0 0	N/A
ISHARES TR	IBNDS MAR20 ETF	46432FAK3	824	33650 PRN	SOLE	33650 0 0	N/A
ISHARES TR	IBONDS DEC19 ETF	46434VAU4	9576	386097 PRN	SOLE	386097 0 0	N/A
ISHARES TR	IBONDS DEC20 ETF	46434VAQ3	10092	404072 PRN	SOLE	404072 0 0	N/A
ISHARES TR	IBONDS DEC2021	46435G789	4752	186966 SH	SOLE	186966 0 0	N/A
ISHARES TR	IBONDS DEC2022	46435G755	15599	609230 SH	SOLE	609230 0 0	N/A
ISHARES TR	IBONDS DEC2023	46435G318	10413	414658 SH	SOLE	414658 0 0	N/A
ISHARES TR	IBONDS DEC21 ETF	46434VBK5	23334	958333 PRN	SOLE	958333 0 0	N/A
ISHARES TR	IBONDS DEC22 ETF	46434VBA7	9175	379638 PRN	SOLE	379638 0 0	N/A
ISHARES TR	IBONDS DEC23 ETF	46434VAX8	13991	578803 PRN	SOLE	578803 0 0	N/A
ISHARES TR	IBONDS DEC24 ETF	46434VBG4	13490	564203 PRN	SOLE	564203 0 0	N/A
ISHARES TR	IBONDS MAR23 ETF	46432FAZ0	522	20336 PRN	SOLE	20336 0 0	N/A
ISHARES TR	IBONDS SEP19 ETF	46429B564	4506	177376 SH	SOLE	177376 0 0	N/A
ISHARES TR	IBONDS SEP2020	46434V571	16673	657287 SH	SOLE	657287 0 0	N/A
ISHARES TR	IBOXX HI YD ETF	464288513	4	13000 SH	SOLE	13000 0 0	Put
ISHARES TR	IBOXX HI YD ETF	464288513	9870	122243 SH	SOLE	122243 0 0	N/A
ISHARES TR	IBOXX INV CP ETF	464287242	10751	95390 SH	SOLE	95390 0 0	N/A
ISHARES TR	INTL DEV RE ETF	464288489	577	21450 SH	SOLE	21450 0 0	N/A
ISHARES TR	INTL SEL DIV ETF	464288448	2518	87843 SH	SOLE	87843 0 0	N/A
ISHARES TR	INTRM TR CRP ETF	464288638	2701	51459 SH	SOLE	51459 0 0	N/A
ISHARES TR	JPMORGAN USD EMG	464288281	11338	109308 SH	SOLE	109308 0 0	N/A
ISHARES TR	MBS ETF	464288588	1196	11452 SH	SOLE	11452 0 0	N/A
ISHARES TR	MICRO-CAP ETF	464288869	2418	29466 SH	SOLE	29466 0 0	N/A
ISHARES TR	MIN VOL EAFE ETF	46429B689	3692	55552 SH	SOLE	55552 0 0	N/A
ISHARES TR	MIN VOL USA ETF	46429B697	6782	129704 SH	SOLE	129704 0 0	N/A
ISHARES TR	MODERT ALLOC ETF	464289875	253	7107 SH	SOLE	7107 0 0	N/A
ISHARES TR	MRGSTR MD CP ETF	464288208	1219	7537 SH	SOLE	7537 0 0	N/A
ISHARES TR	MRGSTR MD CP GRW	464288307	347	1794 SH	SOLE	1794 0 0	N/A
ISHARES TR	MRGSTR MD CP VAL	464288406	285	2046 SH	SOLE	2046 0 0	N/A
ISHARES TR	MRNGSTR INC ETF	46432F875	507	21770 SH	SOLE	21770 0 0	N/A
ISHARES TR	MRNGSTR LG-CP ET	464287127	678	4737 SH	SOLE	4737 0 0	N/A
ISHARES TR	MRNGSTR LG-CP GR	464287119	1371	8649 SH	SOLE	8649 0 0	N/A
ISHARES TR	MSCI AC ASIA ETF	464288182	3373	53236 SH	SOLE	53236 0 0	N/A
ISHARES TR	MSCI ACWI ETF	464288257	14399	224390 SH	SOLE	224390 0 0	N/A
ISHARES TR	MSCI ACWI EX US	464288240	11752	279953 SH	SOLE	279953 0 0	N/A
ISHARES TR	MSCI EAFE ETF	464287465	39334	668758 SH	SOLE	668758 0 0	N/A
ISHARES TR	MSCI EMG MKT ETF	464287234	30033	768226 SH	SOLE	768226 0 0	N/A
ISHARES TR	MSCI INDIA ETF	46429B598	1547	46349 SH	SOLE	46349 0 0	N/A
ISHARES TR	MSCI IRELAND ETF	46429B507	5375	145447 SH	SOLE	145447 0 0	N/A
ISHARES TR	MSCI KLD400 SOC	464288570	1808	19433 SH	SOLE	19433 0 0	N/A
ISHARES TR	MSCI UK ETF NEW	46435G334	1182	40418 SH	SOLE	40418 0 0	N/A
ISHARES TR	MSCI USA ESG SLC	464288802	881	8555 SH	SOLE	8555 0 0	N/A
ISHARES TR	MULTIFACTOR INTL	46434V274	984	41538 SH	SOLE	41538 0 0	N/A
ISHARES TR	MULTIFACTOR USA	46434V282	230	8341 SH	SOLE	8341 0 0	N/A
ISHARES TR	NASDAQ BIOTECH	464287556	5635	58503 SH	SOLE	58503 0 0	N/A
ISHARES TR	NATIONAL MUN ETF	464288414	16242	148913 SH	SOLE	148913 0 0	N/A
ISHARES TR	NEW YORK MUN ETF	464288323	283	5137 SH	SOLE	5137 0 0	N/A
ISHARES TR	NORTH AMERN NAT	464287374	364	13326 SH	SOLE	13326 0 0	N/A
